"search-number","evaluation","power-plants*","initial-population*","birth-rate*","polluting-rate*","planting-rate*","fitness","num-replicates","best-fitness-so-far"
"1","10","9","30","0.1","3","0.05","-807.9","10","-807.9"
"1","20","12","30","0.1","3","0.09","-6468","10","-807.9"
"1","30","19","30","0.1","3","0.02","305.2","10","305.2"
