"search-number","evaluation","evals-requested-so-far","power-plants*","initial-population*","birth-rate*","polluting-rate*","planting-rate*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","310","400","17","30","0.1","3","0.02","""-1475790792""","-10","-10","-10","0","-10"
"1","311","400","17","30","0.1","3","0.02","""-1105844353""","1501","1501","1501","0","1501"
"1","312","400","17","30","0.1","3","0.02","""1467669364""","372","372","372","0","372"
"1","313","400","13","30","0.1","3","0.08","""1665108523""","-1488","-1488","-1488","0","-1488"
"1","314","400","13","30","0.1","3","0.08","""1037604062""","-3169","-3169","-3169","0","-3169"
"1","315","400","13","30","0.1","3","0.08","""492802000""","-1193","-1193","-1193","0","-1193"
"1","316","400","13","30","0.1","3","0.08","""1688527177""","-2687","-2687","-2687","0","-2687"
"1","317","400","13","30","0.1","3","0.08","""1193394133""","-185","-185","-185","0","-185"
"1","318","400","13","30","0.1","3","0.08","""529135975""","-5080","-5080","-5080","0","-5080"
"1","319","400","13","30","0.1","3","0.08","""-48577578""","-1161","-1161","-1161","0","-1161"
"1","320","400","13","30","0.1","3","0.08","""1054593808""","-2717","-2717","-2717","0","-2717"
"1","321","400","5","30","0.1","3","0.05","""1453262483""","-340","-340","-340","0","-340"
"1","322","400","5","30","0.1","3","0.05","""1568108791""","-68","-68","-68","0","-68"
"1","323","400","5","30","0.1","3","0.05","""323871367""","-41","-41","-41","0","-41"
"1","324","400","5","30","0.1","3","0.05","""-1510926354""","80","80","80","0","80"
"1","325","400","5","30","0.1","3","0.05","""1581566549""","-237","-237","-237","0","-237"
"1","326","400","5","30","0.1","3","0.05","""-550744124""","-73","-73","-73","0","-73"
"1","327","400","5","30","0.1","3","0.05","""2089653677""","-33","-33","-33","0","-33"
"1","328","400","5","30","0.1","3","0.05","""1619747040""","-98","-98","-98","0","-98"
"1","329","400","19","30","0.1","3","0.08","""569731978""","-1197","-1197","-1197","0","-1197"
"1","330","400","19","30","0.1","3","0.08","""-1669261949""","-73","-73","-73","0","-73"
"1","331","400","19","30","0.1","3","0.08","""-421749702""","-5443","-5443","-5443","0","-5443"
"1","332","400","19","30","0.1","3","0.08","""-829667029""","-51","-51","-51","0","-51"
"1","333","400","19","30","0.1","3","0.08","""232760462""","-76","-76","-76","0","-76"
"1","334","400","19","30","0.1","3","0.08","""1236703114""","-2221","-2221","-2221","0","-2221"
"1","335","400","19","30","0.1","3","0.08","""-204803094""","-2251","-2251","-2251","0","-2251"
"1","336","400","19","30","0.1","3","0.08","""-585483405""","-2511","-2511","-2511","0","-2511"
"1","337","400","10","30","0.1","3","0.02","""827244001""","-14","-14","-14","0","-14"
"1","338","400","10","30","0.1","3","0.02","""-775292500""","914","914","914","0","914"
"1","339","400","10","30","0.1","3","0.02","""1900648915""","-36","-36","-36","0","-36"
"1","340","400","10","30","0.1","3","0.02","""1057803129""","-13","-13","-13","0","-13"
"1","341","400","10","30","0.1","3","0.02","""498397966""","81","81","81","0","81"
"1","342","400","10","30","0.1","3","0.02","""-353941450""","-19","-19","-19","0","-19"
"1","343","400","10","30","0.1","3","0.02","""366837799""","439","439","439","0","439"
"1","344","400","10","30","0.1","3","0.02","""2020710971""","1641","1641","1641","0","1641"
"1","345","400","7","30","0.1","3","0","""-1487529603""","0","0","0","0","0"
"1","346","400","7","30","0.1","3","0","""1328786984""","34","34","34","0","34"
"1","347","400","7","30","0.1","3","0","""1783183325""","0","0","0","0","0"
"1","348","400","7","30","0.1","3","0","""1541751035""","0","0","0","0","0"
"1","349","400","7","30","0.1","3","0","""51420593""","14","14","14","0","14"
"1","350","400","7","30","0.1","3","0","""1865254995""","0","0","0","0","0"
"1","351","400","7","30","0.1","3","0","""-1168175581""","72","72","72","0","72"
"1","352","400","7","30","0.1","3","0","""1911233050""","0","0","0","0","0"
"1","353","400","10","30","0.1","3","0.06","""-1383750849""","-210","-210","-210","0","-210"
"1","354","400","10","30","0.1","3","0.06","""881808939""","-320","-320","-320","0","-320"
"1","355","400","10","30","0.1","3","0.06","""-1295468833""","-71","-71","-71","0","-71"
"1","356","400","10","30","0.1","3","0.06","""361443256""","-168","-168","-168","0","-168"
"1","357","400","10","30","0.1","3","0.06","""12878891""","-1071","-1071","-1071","0","-1071"
"1","358","400","10","30","0.1","3","0.06","""-962248276""","-848","-848","-848","0","-848"
"1","359","400","10","30","0.1","3","0.06","""-1115431704""","-1346","-1346","-1346","0","-1346"
"1","360","400","10","30","0.1","3","0.06","""-1555438021""","-583","-583","-583","0","-583"
"1","361","400","1","30","0.1","3","0.02","""276098302""","228","228","228","0","228"
"1","362","400","1","30","0.1","3","0.02","""1570283455""","74","74","74","0","74"
"1","363","400","1","30","0.1","3","0.02","""7243505""","26","26","26","0","26"
"1","364","400","1","30","0.1","3","0.02","""396252575""","610","610","610","0","610"
"1","365","400","1","30","0.1","3","0.02","""-1814068658""","802","802","802","0","802"
"1","366","400","1","30","0.1","3","0.02","""708054918""","-14","-14","-14","0","-14"
"1","367","400","1","30","0.1","3","0.02","""-1629466320""","-13","-13","-13","0","-13"
"1","368","400","1","30","0.1","3","0.02","""-1478407791""","39","39","39","0","39"
"1","369","400","15","30","0.1","3","0.07","""-758652935""","-1333","-1333","-1333","0","-1333"
"1","370","400","15","30","0.1","3","0.07","""-1070264237""","-424","-424","-424","0","-424"
"1","371","400","15","30","0.1","3","0.07","""728046663""","-78","-78","-78","0","-78"
"1","372","400","15","30","0.1","3","0.07","""-1175470185""","-2869","-2869","-2869","0","-2869"
"1","373","400","15","30","0.1","3","0.07","""1190705969""","-1504","-1504","-1504","0","-1504"
"1","374","400","15","30","0.1","3","0.07","""1542590151""","-2035","-2035","-2035","0","-2035"
"1","375","400","15","30","0.1","3","0.07","""775787127""","-2462","-2462","-2462","0","-2462"
"1","376","400","15","30","0.1","3","0.07","""-1660666492""","-1408","-1408","-1408","0","-1408"
"1","377","400","8","30","0.1","3","0.05","""-1584453916""","-13","-13","-13","0","-13"
"1","378","400","8","30","0.1","3","0.05","""-355501405""","62","62","62","0","62"
"1","379","400","8","30","0.1","3","0.05","""1765780547""","-244","-244","-244","0","-244"
"1","380","400","8","30","0.1","3","0.05","""-1434084505""","-328","-328","-328","0","-328"
"1","381","400","8","30","0.1","3","0.05","""2017350466""","-182","-182","-182","0","-182"
"1","382","400","8","30","0.1","3","0.05","""-1442355624""","-48","-48","-48","0","-48"
"1","383","400","8","30","0.1","3","0.05","""-911634820""","-127","-127","-127","0","-127"
"1","384","400","8","30","0.1","3","0.05","""-1010070147""","190","190","190","0","190"
